Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2020,09/18/2020,ES-GSN-0822,NYCT - Manhattanville Bus Depot - Component Rehabilitation,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - HVAC,"Subway Platform, Track Signals and Tunnel Lighting",1,15791232,684615,621,2578589,275329,36905,0,0,0,11662.74,2585.361,0,666 West 133rd St,,New York,NY,10027,"Energy Efficiency upgrades at the Manhattanville Bus Depot including, demand control ventilation (DCV), heat recovery unit (HRU) and heating/ventilation unit (HVU) replacements, HVAC rooftop unit upgrades, exhaust fan replacements, condensing boilers upgrade, variable frequency drives for pumps, building management system (BMS), and air curtains."
2020,09/03/2020,ES-GSN-0851,CUNY - Multiple Sites - Sub-Metering Phase 2,New York City,J - New York City,NEW YORK,Southeastern,CITY UNIVERSITY OF NEW YORK,City University of New York,Metering / Sub-metering,Colleges and Universities,1,2141238,54366,56.4,314595.2,6984,0,0,0,0,847.9172,128.0019,0,2900 Bedford Ave,,Brooklyn,NY,11210,"Campus-wide, sub-meter installation at NYC College of Technology, York College, and John Jay College. Project will add submeters to existing utility metering system. To comply with EO-88, meters will be added to measure energy at existing buildings over 100,000 square feet in size."
2020,09/03/2020,ES-ESN-0673,SUNY Alfred State - Phase 1,Western New York,B - Genesee,ALLEGANY,Western,SUNY - State University of New York,State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,3419299,82515,155.6,885293,93210,0,0,0,0,3654.293,613.8774,0,10 Upper College Dr,,Alfred,NY,14802,"The scope of work includes the installation of a Variable Frequency Drive (VFD) to an Air Handling Unit (AHU), control systems retrofit, upgrade exterior lighting, kitchen exhaust upgrades with controls, and sub-metering. The work will be done in the following locations: Orvis Gym, Orvis Auditorium, Central Dining Hall, Student Development Center, Parish Hall,  10 Elm, Agriculture Science, Allied Health, Alumni House, Braddon Hall, Burdick Hall, Conventional Dairy Barn, Document Center, EJ Brown, Engineering Technology, Facility Services, Getman Hall, Hinkle Library, Orvis Activities Center, Parish Hall, Peet Hall, Physical Plant, Pioneer Center, R/C Hall, Shults Hall, Student Leadership Center, Town House 1-7, Huntington Admin, Main Gate A &, Organic Dairy Barn, Vet Tech and Robinson Champlin Hall.The scope of work includes the installation of a Variable Frequency Drive (VFD) to an Air Handling Unit (AHU), control systems retrofit, upgrade exterior lighting, kitchen exhaust upgrades with controls, and sub-metering. The work will be done in the following locations: Orvis Gym, Orvis Auditorium, Central Dining Hall, Student Development Center, Parish Hall,  10 Elm, Agriculture Science, Allied Health, Alumni House, Braddon Hall, Burdick Hall, Conventional Dairy Barn, Document Center, EJ Brown, Engineering Technology, Facility Services, Getman Hall, Hinkle Library, Orvis Activities Center, Parish Hall, Peet Hall, Physical Plant, Pioneer Center, R/C Hall, Shults Hall, Student Leadership Center, Town House 1-7, Huntington Admin, Main Gate A &, Organic Dairy Barn, Vet Tech and Robinson Champlin Hall."
2020,09/01/2020,ES-ESN-0721,Town of Ulster - LED Street Lighting (DESIGN ONLY),Mid-Hudson,G - Hudson Valley,ULSTER,Southeastern,"ULSTER, TOWN OF",,Design Services,"Street Lighting, Bridges, Yards, Parkings",1,357729,75501,0,135300,0,0,0,0,0,312.931,18.16227,0,Multiple,,Lake Katrine,NY,12449,Design Only services for LED Street lighting
2020,08/31/2020,ES-GSN-0528,NYPD - Old 41st Police Precinct - Lighting & Sensors,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency - LED Lighting,"Police Precincts, Fire Stations",1,371360,28379,37.9,370144,-3094,0,0,,0,802.6621,90.52975,0,1086 Simpson Street,,Bronx,NY,10459,The scope of work includes an energy efficient LED lighting upgrade and the installation of occupancy sensors at the NYPD Old 41st Precinct.
2020,08/25/2020,ES-GSN-0929,NYC DOHMH - Bushwick Health Center - LED Lighting Upgrade,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Health and Mental Hygiene,Energy Efficiency - LED Lighting,"Hospitals, Health, Shelters, Medical Centers",1,278224,16363,31,129069,0,0,0,0,0,298.5672,37.29758,0,335 Grand Ave,,Brooklyn,NY,11221,High Efficiency LED Lighting project for Health and Mental hygiene department at Bushwick Health Center.
2020,08/19/2020,ES-ESN-0562,NYS DEC - Ray Brook Biomass District Heating,Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Environmental Conservation,Energy Efficiency - HVAC,"County, Municipal, & State Government Offices",3,2990268,58570,0,-66655,0,31967,0,0,0,785.8621,318.4258,0,625 Broadway (3rd Floor),,Albany,NY,12233,"Install and wood pellet (biomass) boiler plant, and a heating loop to connect the Adirondack Park Agency (APA), NYS Department of Environmental Conservation (DEC), and NY State Police (NY SP) Troop-B Headquarters buildings and heat them using a central wood pellet boiler plant."
2020,08/19/2020,ES-GSN-1069,NYS OGS - 55 Hanson Place Phase II - Cooling Tower Refurbishment,New York City,J - New York City,KINGS,Southeastern,"State of New York (OGS, SUNY, all state agencies)",NYS Office of General Services,Energy Efficiency - Comprehensive,"County, Municipal, & State Government Offices",1,769786,788,1.1,4665,0,0,0,0,0,10.80172,1.348064,0,55 Hanson Place,,Brooklyn,NY,11217,Refurbishment of the cooling tower at 55 Hanson Place.
2020,08/03/2020,ES-GSN-0926,NYC DOHMH - Crown Heights Health Center - LED Lighting Upgrade,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Health and Mental Hygiene,Energy Efficiency - LED Lighting,"Hospitals, Health, Shelters, Medical Centers",1,144414,21054,28,172657,-935,0,0,0,0,383.2017,44.9276,0,1218 Prospect Place,,Brooklyn,NY,11213,Energy efficient LED lighting upgrade at NYC Crown Heights Health Center.
2020,07/08/2020,ES-ESN-6094,Town of Knox - Municipal Buildings - Energy Audits,Capital District,F - Capital,ALBANY,Central,"KNOX, TOWN OF",,Energy Audit / Feasibility Study,"County, Municipal, & State Government Offices",1,3077,0,0,0,0,0,0,0,0,0,0,0,2192 Berne Altamont Road,,Altamont,NY,12009,"Town of Knox - energy efficiency audits at multiple facilities: Hwy garage, Town Hall,  Park Building"
2020,07/01/2020,ES-GSN-1048,WC Buildings - Asset Management Plan,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"WESTCHESTER, COUNTY OF",,Energy Audit / Feasibility Study,"County, Municipal, & State Government Offices",17,650000,0,0,0,0,0,0,0,0,0,0,0,Multiple,,Multiple,NY,Multiple,"Provide an asset management plan for several Westchester County public buildings, including BCS Analysis Report, Mechanical Equipment Report, Generator Analysis Report, BCS DOC Parking Garage — Structural Memo, and BCS Retaining Wall — Structural Memo"
2020,06/22/2020,ES-GSN-0801,CUNY-Wide Energy Efficient Lamp Replacement Program,New York City,J - New York City,NEW YORK,Southeastern,CITY UNIVERSITY OF NEW YORK,City University of New York,Energy Efficiency - LED Lighting,Colleges and Universities,12,42054,153300,26.25,1022000,0,0,0,0,0,2363.448,295.3314,0,CUNY-WIDE,,NYC,NY,10019,CUNY-wide (all campuses) energy efficient lamp replacement program.
2020,05/06/2020,ES-ESN-0789,SUNY Oneonta - CNG Feasibility Study,Mohawk Valley,E - Mohawk Valley,OTSEGO,Central,SUNY - State University of New York,State University of New York,Energy Audit / Feasibility Study,Colleges and Universities,,16270,0,0,0,0,0,0,0,0,0,0,0,108 Ravine Pkwy,,Oneonta,NY,13820,Feasibility study for SUNY Oneonta for compressed natural gas.
2020,04/30/2020,ES-GSN-0910,NYC Health and Hospitals - Kings County Hospital Boiler and Lighting Upgrade,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - Comprehensive,"Hospitals, Health, Shelters, Medical Centers",1,999995,33690,47.86,249988,1770,0,,,0,610.7414,81.6405,,451 Clarkson Avenue,,Brooklyn,NY,11203,"The scope of work is to upgrade the existing campus' various exterior light fixtures with high efficiency LED fixtures. In addition, to upgrade a boiler refractory to improve the boiler's productivity and life cycle."
2020,04/07/2020,ES-GSN-0995,NYPL - Peninsula Branch Library - Resilient Solar,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,Queens Public Library,Renewables - Solar PV,Libraries,1,41177,0,0,0,0,0,0,0,0,0,0,0,32-25 Rockaway Beach,,Rockaway Beach,NY,11693,"Deliverable is Final Report, no ICIC or FCIC. Document is loaded to PCM. MBr DCAS requested the installation of rooftop PV systems and Battery Energy Storage systems at QPL Peninsula Branch. This project will be an initial design project with a fee structure of 12.5% and variable IDC. The estimated cost for this project including NYPA Fee, will be $ 45,072 (including IDC rate)."
2020,04/02/2020,ES-ESN-0762,Town of New Hartford - Chiller Replacement,Mohawk Valley,E - Mohawk Valley,ONEIDA,Central,"NEW HARTFORD, TOWN OF",,Energy Efficiency - Comprehensive,"County, Municipal, & State Government Offices",1,374800,10047,35,76880,,,,,0,177.7241,10.32014,,4 Mill Street,,New Hartford,NY,13413,Replace chiller with energy efficient unit.
2020,03/24/2020,ES-GSN-0994,JHS-57K (MS 385) - Resilient Solar,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Renewables - Solar PV,"Schools, Elementary and Secondary",1,59624,0,0,0,0,0,0,0,0,0,0,0,125 Stuyvesant Ave,,Brooklyn,NY,11221,"Deliverable is Final Report, no ICIC or FCIC. Document is loaded to PCM. MBr DCAS Resilient Solar Assumed $4/watt K057 DOE J.H.S. 57 - BROOKLYN 125 Stuyvesant Ave, Brooklyn, NY 11221 Resilient Solar DCAS requested the installation of rooftop PV systems and Battery Energy Storage systems at DOE K057. This project will be an initial design project with a fee structure of 12.5% and variable IDC. The estimated cost for this project including NYPA Fee, will be $ 65,312 (including IDC rate)."
